"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"R35,R51,R59,R65","4","510R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R36,R40","2","9K53","","","","Resistor_SMD:R_0805_2012Metric","~"
"R37,R38","2","47R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R42,R54,R70","3","470R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R43,R53","2","2R7","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R52,R62","2","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R58,R63","2","47R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R64,R68","2","220R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R66,R67","2","910R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R69","1","12K","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV2,RV3","2","2K5","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"RV4,RV10","2","10K MT","","","Excluded from board","","~"
"RV5,RV6,RV11","3","20K","","","Excluded from board","","~"
"SW1","1","Tracking","","","Excluded from board","","~"
"SW2,SW3,SW5","3","on/off","","","Excluded from board","","~"
"SW4","1","SW_DPDT_x2","","","Excluded from board","","~"
"SW6,SW7","2","Max Current","","","Excluded from board","","~"
"SW8","1","Power On","","","Excluded from board","","~"
"TP1","1","+VRef","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP2","1","+33V","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP3","1","+27V","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP4","1","+6V4","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP5","1","-33V","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP6","1","-27V","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP7","1","-6V4","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP8","1","GND1","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP9","1","GND2","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TP10","1","GND3","","","","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
"TR1","1","Hahn_BV_202_0157","","","","My_Footprints:Transformer_Hahn_BV_202_0157",""
"U1,U2,U5,U6,U7,U8,U13,U14","8","LM741","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm741.pdf"
"U10,U11","2","LT3092xST","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.analog.com/media/en/technical-documentation/data-sheets/3092fc.pdf"
"U12","1","REF01CS","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/REF01_02_03.pdf"
"U15","1","LM337","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm337-n.pdf"
"U16","1","LM317","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm317.pdf"
